command,status,redis_present,garnet_present,notes
ACL,NOT_IMPLEMENTED,1,0,
APPEND,SUPPORTED_DECLARED,1,1,
ASKING,SUPPORTED_DECLARED,1,1,
AUTH,SUPPORTED_DECLARED,1,1,
BGREWRITEAOF,SUPPORTED_DECLARED,1,1,
BGSAVE,SUPPORTED_DECLARED,1,1,
BITCOUNT,SUPPORTED_DECLARED,1,1,
BITFIELD,NOT_IMPLEMENTED,1,0,
BITFIELD_RO,NOT_IMPLEMENTED,1,0,
BITOP,SUPPORTED_DECLARED,1,1,
BITPOS,SUPPORTED_DECLARED,1,1,
BLMOVE,SUPPORTED_DECLARED,1,1,
BLMPOP,SUPPORTED_DECLARED,1,1,
BLPOP,SUPPORTED_DECLARED,1,1,
BRPOP,SUPPORTED_DECLARED,1,1,
BRPOPLPUSH,SUPPORTED_DECLARED,1,1,
BZMPOP,SUPPORTED_DECLARED,1,1,
BZPOPMAX,SUPPORTED_DECLARED,1,1,
BZPOPMIN,SUPPORTED_DECLARED,1,1,
CLIENT,SUPPORTED_DECLARED,1,1,
CLUSTER,NOT_IMPLEMENTED,1,0,
COMMAND,SUPPORTED_DECLARED,1,1,
CONFIG,SUPPORTED_DECLARED,1,1,
COPY,SUPPORTED_DECLARED,1,1,
DBSIZE,SUPPORTED_DECLARED,1,1,
DEBUG,SUPPORTED_DECLARED,1,1,
DECR,SUPPORTED_DECLARED,1,1,
DECRBY,SUPPORTED_DECLARED,1,1,
DEL,SUPPORTED_DECLARED,1,1,
DISCARD,SUPPORTED_DECLARED,1,1,
DUMP,NOT_IMPLEMENTED,1,0,
ECHO,SUPPORTED_DECLARED,1,1,
EVAL,NOT_IMPLEMENTED,1,0,
EVALSHA,NOT_IMPLEMENTED,1,0,
EVALSHA_RO,NOT_IMPLEMENTED,1,0,
EVAL_RO,NOT_IMPLEMENTED,1,0,
EXEC,SUPPORTED_DECLARED,1,1,
EXISTS,SUPPORTED_DECLARED,1,1,
EXPIRE,SUPPORTED_DECLARED,1,1,
EXPIREAT,SUPPORTED_DECLARED,1,1,
EXPIRETIME,SUPPORTED_DECLARED,1,1,
FAILOVER,NOT_IMPLEMENTED,1,0,
FCALL,NOT_IMPLEMENTED,1,0,
FCALL_RO,NOT_IMPLEMENTED,1,0,
FLUSHALL,SUPPORTED_DECLARED,1,1,
FLUSHDB,SUPPORTED_DECLARED,1,1,
FUNCTION,SUPPORTED_DECLARED,1,1,
GEOADD,NOT_IMPLEMENTED,1,0,
GEODIST,NOT_IMPLEMENTED,1,0,
GEOHASH,NOT_IMPLEMENTED,1,0,
GEOPOS,NOT_IMPLEMENTED,1,0,
GEORADIUS,NOT_IMPLEMENTED,1,0,
GEORADIUSBYMEMBER,NOT_IMPLEMENTED,1,0,
GEORADIUSBYMEMBER_RO,NOT_IMPLEMENTED,1,0,
GEORADIUS_RO,NOT_IMPLEMENTED,1,0,
GEOSEARCH,NOT_IMPLEMENTED,1,0,
GEOSEARCHSTORE,NOT_IMPLEMENTED,1,0,
GET,SUPPORTED_DECLARED,1,1,
GETBIT,SUPPORTED_DECLARED,1,1,
GETDEL,SUPPORTED_DECLARED,1,1,
GETEX,SUPPORTED_DECLARED,1,1,
GETRANGE,SUPPORTED_DECLARED,1,1,
GETSET,SUPPORTED_DECLARED,1,1,
HDEL,SUPPORTED_DECLARED,1,1,
HELLO,SUPPORTED_DECLARED,1,1,
HEXISTS,SUPPORTED_DECLARED,1,1,
HGET,SUPPORTED_DECLARED,1,1,
HGETALL,SUPPORTED_DECLARED,1,1,
HINCRBY,SUPPORTED_DECLARED,1,1,
HINCRBYFLOAT,SUPPORTED_DECLARED,1,1,
HKEYS,SUPPORTED_DECLARED,1,1,
HLEN,SUPPORTED_DECLARED,1,1,
HMGET,SUPPORTED_DECLARED,1,1,
HMSET,SUPPORTED_DECLARED,1,1,
HRANDFIELD,SUPPORTED_DECLARED,1,1,
HSCAN,SUPPORTED_DECLARED,1,1,
HSET,SUPPORTED_DECLARED,1,1,
HSETNX,SUPPORTED_DECLARED,1,1,
HSTRLEN,SUPPORTED_DECLARED,1,1,
HVALS,SUPPORTED_DECLARED,1,1,
INCR,SUPPORTED_DECLARED,1,1,
INCRBY,SUPPORTED_DECLARED,1,1,
INCRBYFLOAT,SUPPORTED_DECLARED,1,1,
INFO,SUPPORTED_DECLARED,1,1,
KEYS,SUPPORTED_DECLARED,1,1,
LASTSAVE,SUPPORTED_DECLARED,1,1,
LATENCY,NOT_IMPLEMENTED,1,0,
LCS,NOT_IMPLEMENTED,1,0,
LINDEX,SUPPORTED_DECLARED,1,1,
LINSERT,SUPPORTED_DECLARED,1,1,
LLEN,SUPPORTED_DECLARED,1,1,
LMOVE,SUPPORTED_DECLARED,1,1,
LMPOP,SUPPORTED_DECLARED,1,1,
LOLWUT,SUPPORTED_DECLARED,1,1,
LPOP,SUPPORTED_DECLARED,1,1,
LPOS,SUPPORTED_DECLARED,1,1,
LPUSH,SUPPORTED_DECLARED,1,1,
LPUSHX,SUPPORTED_DECLARED,1,1,
LRANGE,SUPPORTED_DECLARED,1,1,
LREM,SUPPORTED_DECLARED,1,1,
LSET,SUPPORTED_DECLARED,1,1,
LTRIM,SUPPORTED_DECLARED,1,1,
MEMORY,SUPPORTED_DECLARED,1,1,
MGET,SUPPORTED_DECLARED,1,1,
MIGRATE,NOT_IMPLEMENTED,1,0,
MODULE,NOT_IMPLEMENTED,1,0,
MONITOR,NOT_IMPLEMENTED,1,0,
MOVE,NOT_IMPLEMENTED,1,0,
MSET,SUPPORTED_DECLARED,1,1,
MSETNX,SUPPORTED_DECLARED,1,1,
