run,target,workload,ops_sec,avg_lat_ms,p99_ms,outdir
1,garnet,set,36518.56,0.10928,0.18300,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner1-20260223-014015/run-1
1,garnet,get,36636.08,0.10895,0.18300,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner1-20260223-014015/run-1
1,dragonfly,set,52978.32,0.07540,0.16700,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner1-20260223-014015/run-1
1,dragonfly,get,53505.98,0.07465,0.15100,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner1-20260223-014015/run-1
2,garnet,set,36951.73,0.10801,0.17500,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner1-20260223-014015/run-2
2,garnet,get,35964.54,0.11095,0.23900,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner1-20260223-014015/run-2
2,dragonfly,set,55110.02,0.07250,0.14300,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner1-20260223-014015/run-2
2,dragonfly,get,53834.17,0.07422,0.14300,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner1-20260223-014015/run-2
3,garnet,set,36332.01,0.10985,0.18300,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner1-20260223-014015/run-3
3,garnet,get,37082.22,0.10763,0.17500,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner1-20260223-014015/run-3
3,dragonfly,set,54294.34,0.07360,0.14300,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner1-20260223-014015/run-3
3,dragonfly,get,53880.94,0.07412,0.15100,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner1-20260223-014015/run-3
